period,strategy,family,task,total_return,sharpe,win_rate,trade_rate
1,baseline_elliott_rsi,baseline,signal,0.0,0.0,0.0,0.0
1,supervised_mlp_classifier,mlp,classification,-0.03194192044694244,-17.843411759218252,0.388,0.944
1,supervised_mlp_regressor,mlp,regression,-0.031505640878786934,-17.20438685613873,0.408,0.992
1,cnn_classifier,cnn,classification,-0.029580340593593712,-17.43291021209627,0.36,0.872
1,cnn_regressor,cnn,regression,-0.03207156308865122,-17.56328245827091,0.404,0.984
1,gru_classifier,gru,classification,-0.03146052233280161,-17.60657777916545,0.388,0.936
1,gru_regressor,gru,regression,-0.031505640878786934,-17.20438685613873,0.408,0.992
1,transformer_classifier,transformer,classification,-0.029809224698098657,-17.02069042569054,0.38,0.912
1,transformer_regressor,transformer,regression,-0.03197344943691738,-17.49385700836267,0.404,0.988
1,unsupervised_regime_filtered_baseline,regime_filter,signal,0.0,0.0,0.0,0.0
1,autoencoder_regime_strategy,autoencoder_regime,signal,0.001243471427234688,5.926953352904173,0.008,0.012
2,baseline_elliott_rsi,baseline,signal,0.0005267347759116969,3.5263938900879395,0.016,0.02
2,supervised_mlp_classifier,mlp,classification,-0.030381707969620142,-17.630515432428684,0.404,0.94
2,supervised_mlp_regressor,mlp,regression,-0.02941542011062459,-16.87505267814045,0.424,0.976
2,cnn_classifier,cnn,classification,-0.030206464173906045,-18.22027784561635,0.364,0.86
2,cnn_regressor,cnn,regression,-0.02912400730982523,-16.81742062996307,0.42,0.96
2,gru_classifier,gru,classification,-0.029314155344153825,-17.167446533458914,0.4,0.928
2,gru_regressor,gru,regression,-0.02941542011062459,-16.87505267814045,0.424,0.976
2,transformer_classifier,transformer,classification,-0.03064403287130779,-18.2196083392383,0.384,0.904
2,transformer_regressor,transformer,regression,-0.029370644299157034,-16.939551788680895,0.42,0.964
2,unsupervised_regime_filtered_baseline,regime_filter,signal,0.0,0.0,0.0,0.0
2,autoencoder_regime_strategy,autoencoder_regime,signal,0.0003539530212599562,1.7125259472685617,0.02,0.028
3,baseline_elliott_rsi,baseline,signal,0.00014035046060434375,2.9470278446633102,0.004,0.004
3,supervised_mlp_classifier,mlp,classification,-0.035740120866506464,-21.314419409044998,0.396,0.96
3,supervised_mlp_regressor,mlp,regression,-0.03442265051531179,-20.112619094562884,0.412,0.992
3,cnn_classifier,cnn,classification,-0.035928228235366344,-21.906282242183874,0.356,0.896
3,cnn_regressor,cnn,regression,-0.03455897700288313,-20.188272764669325,0.412,0.988
3,gru_classifier,gru,classification,-0.03588963301890624,-21.446885318558,0.392,0.952
3,gru_regressor,gru,regression,-0.03442265051531179,-20.112619094562884,0.412,0.992
3,transformer_classifier,transformer,classification,-0.03659332227901657,-22.027329599046592,0.376,0.936
3,transformer_regressor,transformer,regression,-0.03442265051531179,-20.112619094562884,0.412,0.992
3,unsupervised_regime_filtered_baseline,regime_filter,signal,0.0,0.0,0.0,0.0
